States_Union Territories,2000-01-INC,2011-12-INC,2001 - LIT,2011- LIT,2001 - POP,2011- POP,AvgLIT,2001 -SEX_Ratio,2011 -SEX_Ratio,2001 -UNEMP,2011 -UNEMP,2001 -Poverty,2011 -Poverty
Andaman and Nicobar Islands,25047,89642,81.3,86.63,356,381,368.5,846,876,34,54,20.99,1
Andhra Pradesh,17195,64773,60.47,67.02,76210,84581,80395.5,978,993,8,12,15.77,9.2
Arunachal Pradesh,15260,71366,54.34,65.39,1098,1384,1241,893,938,5,17,33.47,34.67
Assam,12803,36320,63.25,72.19,26656,31206,28931,935,958,39,45,36.09,31.98
Bihar,6415,22582,47,61.8,82999,104099,93549,919,918,18,32,42.6,33.74
Chandigarh,49771,136883,81.94,86.05,901,1055,978,777,818,7,24,5.75,21.81
Chhattisgarh,10744,48366,64.66,70.28,20834,25545,23189.5,989,991,16,8,30,39.93
Delhi,40678,161446,57.63,76.24,13851,16788,15319.5,821,868,47,78,8.23,9.91
Goa,43735,211570,78.18,87.1,1348,1459,1403.5,961,973,93,51,4.4,5.09
Gujarat,18392,85979,81.67,86.21,50671,60440,55555.5,920,919,4,3,14.07,16.63
Haryana,25583,106320,82.01,88.7,21145,25351,23248,861,879,8,24,8.74,11.16
Himachal Pradesh,22795,75185,69.14,78.03,6078,6865,6471.5,968,972,12,10,7.63,8.06
Jammu and Kashmir,14268,46734,67.91,75.55,10144,12541,11342.5,892,889,11,25,3.48,10.35
Jharkhand,10345,36554,76.48,82.8,26946,32988,29967,941,948,20,21,32,36.96
Karnataka,18344,68053,55.52,67.16,52851,61095,56973,965,973,7,9,20.04,20.91
Kerala,20094,82753,53.56,66.41,31841,33406,32623.5,1058,1084,82,68,12.72,7.05
Madhya Pradesh,11862,37180,66.6,75.37,60348,72627,66487.5,919,931,5,4,37.43,31.65
Maharashtra,22777,93282,90.86,94,96879,112374,104626.5,922,929,14,7,25.02,17.35
Manipur,12369,33695,86.66,91.85,2294,2856,2575,978,992,19,26,28.54,36.89
Meghalaya,15657,50316,63.74,69.32,2319,2967,2643,972,989,4,4,33.87,11.87
Mizoram,17826,53624,76.88,82.34,889,1097,993,935,976,9,18,19.47,20.4
Nagaland,16253,63781,70.5,76.9,1990,1979,1984.5,900,931,24,151,32.67,18.88
Odisha,10453,43463,62.56,74.43,36805,41974,39389.5,972,979,19,22,47.15,32.59
Puducherry,35994,103149,88.8,91.33,974,1248,1111,1001,1037,40,8,21.67,9.69
Punjab,27881,76895,66.59,79.6,24359,27743,26051,876,895,18,19,6.16,8.26
Rajasthan,13020,54637,63.08,72.89,56507,68548,62527.5,921,928,4,7,15.28,14.71
Sikkim,16077,130127,81.24,85.85,541,611,576,875,890,28,10,36.55,8.19
Tamil Nadu,20972,89050,69.65,75.84,62406,72147,67276.5,987,996,20,20,21.12,11.28
Tripura,15983,50859,68.81,81.42,3199,3674,3436.5,948,960,12,105,34.44,14.05
Uttar Pradesh,9828,30021,73.45,80.09,166198,199812,183005,898,912,8,9,31.15,29.43
Uttarakhand,15285,85372,73.19,87.22,8489,10086,9287.5,962,963,22,25,10.56,11.26
West Bengal,16583,53383,56.27,67.68,80176,91276,85726,934,950,28,27,27.02,19.98
